ds,yhat,yhat_lower,yhat_upper
1990-01-01,32.62486858393187,32.158938226440725,33.08688701480198
1991-01-01,32.95935825952573,32.48294774379461,33.448903870656096
1992-01-01,33.51101175825926,32.997212999470115,34.00924683090853
1993-01-01,33.862997939062545,33.37793927077161,34.36953047834295
1994-01-01,33.980493614623164,33.492892134361206,34.4263602024617
1995-01-01,34.31559771189203,33.83517991294348,34.83984866419877
1996-01-01,34.86881406723652,34.32874506984512,35.3611400385114
1997-01-01,35.32079423489997,34.834945572443104,35.82717365364649
1998-01-01,35.92070136602742,35.408245455173066,36.40993195003809
1999-01-01,36.73788773490447,36.22953921345372,37.25630332810155
2000-01-01,37.772237948841045,37.27519367749698,38.26445387679537
2001-01-01,38.60824330241342,38.08383654360219,39.090723346001774
2002-01-01,39.20820221685687,38.75100234025372,39.68455235766298
2003-01-01,40.02538860346186,39.496267118934796,40.514278411350794
2004-01-01,41.059160017956955,40.56821311002368,41.55286547816898
2005-01-01,41.35231611919028,40.855630165210194,41.837142482399415
2006-01-01,41.40981448139258,40.93503064259515,41.91258212706906
2007-01-01,41.684540316616676,41.16427749798621,42.15056227754366
2008-01-01,42.176429976329025,41.705486598214364,42.671089787803645
2009-01-01,42.468488580327744,42.011727309369256,42.945069219841905
2010-01-01,42.525985437190734,42.05449844791091,43.01739076854705
2011-01-01,42.79943433504705,42.305664891952254,43.30157272973617
2012-01-01,43.0714941139345,42.57090534829061,43.59501443492452
2013-01-01,43.14311931651905,42.64002731882613,43.613458984210695
2014-01-01,42.98078654981336,42.48865202946626,43.469191526297124
2015-01-01,43.035681260517435,42.571919591221,43.55488319736598
2016-01-01,43.30773979502277,42.808214135506276,43.83136461119765
2017-01-01,43.37936499802959,42.89542903628888,43.88792625565493
2018-01-01,43.21703223193059,42.72880326739512,43.73934815333055
2019-01-01,43.271926942635076,42.738328699928196,43.790982005335
2020-01-01,43.54398547713985,43.05647029132169,44.03702166932927
2021-01-01,43.61561068014501,43.13402357869869,44.1001465059554
2021-12-31,44.737383895837596,44.23008970780154,45.183141371488276
2022-12-31,45.656644059526364,45.19351722269895,46.17338812143812
2023-12-31,46.78891221473853,46.243851994655955,47.330025478001694
2024-12-31,44.26899860049497,43.69707154882944,44.888901999421265
2025-12-31,44.973629577957524,44.26882982728207,45.688229207658736
2026-12-31,45.892889741639465,45.06241000162832,46.769784840061654
2027-12-31,47.025157896841925,46.04782359654398,48.04553640751404
2028-12-31,44.505244282612495,43.40720186988827,45.65949990571774
2029-12-31,45.209875260081276,43.92127884295039,46.70545254256106
2030-12-31,46.129135423760346,44.59592664909893,47.695202597664284
2031-12-31,47.26140357898141,45.533380357049815,49.117544335206055
2032-12-31,44.74148996473746,42.70251377015508,46.74869669170038
2033-12-31,45.44612094219074,43.195696478945656,47.65354300721746
2034-12-31,46.36538110588897,43.84294405350559,48.83299533348334
2035-12-31,47.49764926109445,44.72689096681223,50.37203195315338
2036-12-31,44.977735646843215,41.96923514490095,48.16375608855134
2037-12-31,45.68236662429838,42.40820521102005,48.92857522359259
2038-12-31,46.601626787994164,42.980864283242155,50.21772011643082
2039-12-31,47.73389494318857,43.79695570901731,51.64623208346631
2040-12-31,45.21398132896044,41.011227863210316,49.590731213701886
2041-12-31,45.91861230642975,41.53805138921934,50.5909824851212
2042-12-31,46.83787247010845,41.96085428844351,51.87101304859949
2043-12-31,47.97014062532929,42.89703549920227,53.34381342368595
2044-12-31,45.45022701108833,40.04095145622567,51.04675065883584
2045-12-31,46.15485798854404,40.521314143907674,52.10312544371109
2046-12-31,47.07411815222309,40.83586901740064,53.41344032523334
2047-12-31,48.206386307442344,41.65542012860225,54.86551523670646
2048-12-31,45.68647269319959,38.78333387235733,52.73147436236391
2049-12-31,46.3911036706491,39.07947890596088,53.817590139960984
