year,actual,predicted
2011,1305.83825300,1312.09846918
2012,1287.89823100,1311.41109346
2013,1275.69250100,1310.64991917
2014,1271.00143700,1309.82489383
2015,1258.01373600,1308.94462416
2016,1250.74837000,1308.01655670
2017,1232.22702200,1307.04713427
2018,1223.33100000,1306.04193126
2019,1217.56913400,1305.00577063
2020,1204.76696100,1303.94282526
2021,1196.93436900,1302.85670556
