year,actual,predicted
2011,2156.29504400,2159.92429185
2012,2147.35665100,2176.54048944
2013,2142.14512100,2191.28928708
2014,2152.78387300,2204.36653391
2015,2174.56915800,2216.01501183
2016,2222.88906200,2226.49873311
2017,2291.60607200,2236.08245829
2018,2335.23602900,2245.01630284
2019,2337.05338000,2253.52504154
2020,2299.41187700,2261.80154808
2021,2262.87213000,2270.00371040
