year,value
2022-01-01,674.09413168
2023-01-01,669.65105817
2024-01-01,667.59112710
2025-01-01,662.68624725
2026-01-01,655.84734854
2027-01-01,651.40427504
2028-01-01,649.34434397
2029-01-01,644.43946411
2030-01-01,637.60056541
2031-01-01,633.15749190
2032-01-01,631.09756083
2033-01-01,626.19268097
2034-01-01,619.35378227
2035-01-01,614.91070876
2036-01-01,612.85077769
2037-01-01,607.94589784
2038-01-01,601.10699913
2039-01-01,596.66392563
2040-01-01,594.60399456
2041-01-01,589.69911470
2042-01-01,582.86021600
2043-01-01,578.41714249
2044-01-01,576.35721142
2045-01-01,571.45233156
2046-01-01,564.61343286
2047-01-01,560.17035935
2048-01-01,558.11042828
2049-01-01,553.20554843
2050-01-01,546.36664972
