year,value
2022-01-01,895.72612409
2023-01-01,888.00056576
2024-01-01,883.68767337
2025-01-01,875.95170401
2026-01-01,864.79440300
2027-01-01,857.06884467
2028-01-01,852.75595229
2029-01-01,845.01998292
2030-01-01,833.86268191
2031-01-01,826.13712359
2032-01-01,821.82423120
2033-01-01,814.08826184
2034-01-01,802.93096083
2035-01-01,795.20540250
2036-01-01,790.89251011
2037-01-01,783.15654075
2038-01-01,771.99923974
2039-01-01,764.27368141
2040-01-01,759.96078902
2041-01-01,752.22481966
2042-01-01,741.06751865
2043-01-01,733.34196032
2044-01-01,729.02906794
2045-01-01,721.29309858
2046-01-01,710.13579757
2047-01-01,702.41023924
2048-01-01,698.09734685
2049-01-01,690.36137749
2050-01-01,679.20407648
