year,value
2022-01-01,3.64047375
2023-01-01,3.54204352
2024-01-01,3.46549258
2025-01-01,3.38465489
2026-01-01,3.26443621
2027-01-01,3.16600599
2028-01-01,3.08945505
2029-01-01,3.00861736
2030-01-01,2.88839868
2031-01-01,2.78996846
2032-01-01,2.71341752
2033-01-01,2.63257983
2034-01-01,2.51236115
2035-01-01,2.41393093
2036-01-01,2.33737999
2037-01-01,2.25654230
2038-01-01,2.13632362
2039-01-01,2.03789340
2040-01-01,1.96134246
2041-01-01,1.88050476
2042-01-01,1.76028609
2043-01-01,1.66185586
2044-01-01,1.58530493
2045-01-01,1.50446723
2046-01-01,1.38424856
2047-01-01,1.28581833
2048-01-01,1.20926739
2049-01-01,1.12842970
2050-01-01,1.00821103
