year,value
2022-01-01,330.21525318
2023-01-01,326.47273249
2024-01-01,323.43390416
2025-01-01,318.76869199
2026-01-01,314.29784212
2027-01-01,310.55532143
2028-01-01,307.51649310
2029-01-01,302.85128093
2030-01-01,298.38043105
2031-01-01,294.63791037
2032-01-01,291.59908204
2033-01-01,286.93386987
2034-01-01,282.46301999
2035-01-01,278.72049931
2036-01-01,275.68167098
2037-01-01,271.01645880
2038-01-01,266.54560893
2039-01-01,262.80308825
2040-01-01,259.76425992
2041-01-01,255.09904774
2042-01-01,250.62819787
2043-01-01,246.88567719
2044-01-01,243.84684885
2045-01-01,239.18163668
2046-01-01,234.71078681
2047-01-01,230.96826612
2048-01-01,227.92943779
2049-01-01,223.26422562
2050-01-01,218.79337575
