year,value
2022-01-01,9.30334085
2023-01-01,9.24726728
2024-01-01,9.21717062
2025-01-01,9.20316771
2026-01-01,9.12105304
2027-01-01,9.06497947
2028-01-01,9.03488281
2029-01-01,9.02087990
2030-01-01,8.93876523
2031-01-01,8.88269166
2032-01-01,8.85259500
2033-01-01,8.83859209
2034-01-01,8.75647742
2035-01-01,8.70040385
2036-01-01,8.67030720
2037-01-01,8.65630429
2038-01-01,8.57418961
2039-01-01,8.51811604
2040-01-01,8.48801939
2041-01-01,8.47401648
2042-01-01,8.39190180
2043-01-01,8.33582824
2044-01-01,8.30573158
2045-01-01,8.29172867
2046-01-01,8.20961400
2047-01-01,8.15354043
2048-01-01,8.12344377
2049-01-01,8.10944086
2050-01-01,8.02732619
