year,value
2022-01-01,15.51366685
2023-01-01,15.47114958
2024-01-01,15.48991592
2025-01-01,15.46721102
2026-01-01,15.36307043
2027-01-01,15.32055315
2028-01-01,15.33931950
2029-01-01,15.31661460
2030-01-01,15.21247401
2031-01-01,15.16995673
2032-01-01,15.18872307
2033-01-01,15.16601818
2034-01-01,15.06187759
2035-01-01,15.01936031
2036-01-01,15.03812665
2037-01-01,15.01542175
2038-01-01,14.91128116
2039-01-01,14.86876388
2040-01-01,14.88753023
2041-01-01,14.86482533
2042-01-01,14.76068474
2043-01-01,14.71816746
2044-01-01,14.73693380
2045-01-01,14.71422891
2046-01-01,14.61008832
2047-01-01,14.56757104
2048-01-01,14.58633738
2049-01-01,14.56363249
2050-01-01,14.45949189
