year,value
2022-01-01,2088.46329403
2023-01-01,2094.30498062
2024-01-01,2098.39143769
2025-01-01,2098.28172757
2026-01-01,2105.86702343
2027-01-01,2111.70871002
2028-01-01,2115.79516708
2029-01-01,2115.68545696
2030-01-01,2123.27075282
2031-01-01,2129.11243941
2032-01-01,2133.19889648
2033-01-01,2133.08918636
2034-01-01,2140.67448222
2035-01-01,2146.51616881
2036-01-01,2150.60262588
2037-01-01,2150.49291576
2038-01-01,2158.07821162
2039-01-01,2163.91989821
2040-01-01,2168.00635527
2041-01-01,2167.89664515
2042-01-01,2175.48194101
2043-01-01,2181.32362760
2044-01-01,2185.41008467
2045-01-01,2185.30037455
2046-01-01,2192.88567041
2047-01-01,2198.72735700
2048-01-01,2202.81381407
2049-01-01,2202.70410394
2050-01-01,2210.28939981
