year,value
2022-01-01,4.94035624
2023-01-01,4.89710534
2024-01-01,4.86362004
2025-01-01,4.82933120
2026-01-01,4.77607932
2027-01-01,4.73282842
2028-01-01,4.69934312
2029-01-01,4.66505428
2030-01-01,4.61180240
2031-01-01,4.56855150
2032-01-01,4.53506620
2033-01-01,4.50077736
2034-01-01,4.44752548
2035-01-01,4.40427458
2036-01-01,4.37078928
2037-01-01,4.33650044
2038-01-01,4.28324856
2039-01-01,4.23999766
2040-01-01,4.20651236
2041-01-01,4.17222352
2042-01-01,4.11897164
2043-01-01,4.07572074
2044-01-01,4.04223544
2045-01-01,4.00794660
2046-01-01,3.95469472
2047-01-01,3.91144382
2048-01-01,3.87795852
2049-01-01,3.84366968
2050-01-01,3.79041780
