year,value
2022-01-01,26.74730458
2023-01-01,26.65587299
2024-01-01,26.65350173
2025-01-01,26.61606864
2026-01-01,26.43469801
2027-01-01,26.34326642
2028-01-01,26.34089516
2029-01-01,26.30346207
2030-01-01,26.12209145
2031-01-01,26.03065986
2032-01-01,26.02828860
2033-01-01,25.99085551
2034-01-01,25.80948488
2035-01-01,25.71805329
2036-01-01,25.71568203
2037-01-01,25.67824894
2038-01-01,25.49687831
2039-01-01,25.40544673
2040-01-01,25.40307547
2041-01-01,25.36564238
2042-01-01,25.18427175
2043-01-01,25.09284016
2044-01-01,25.09046890
2045-01-01,25.05303581
2046-01-01,24.87166518
2047-01-01,24.78023360
2048-01-01,24.77786234
2049-01-01,24.74042925
2050-01-01,24.55905862
