year,value
2022-01-01,1182.50345757
2023-01-01,1172.49307440
2024-01-01,1164.75508624
2025-01-01,1152.27747006
2026-01-01,1139.99887602
2027-01-01,1129.98849285
2028-01-01,1122.25050468
2029-01-01,1109.77288850
2030-01-01,1097.49429446
2031-01-01,1087.48391129
2032-01-01,1079.74592313
2033-01-01,1067.26830695
2034-01-01,1054.98971291
2035-01-01,1044.97932974
2036-01-01,1037.24134158
2037-01-01,1024.76372540
2038-01-01,1012.48513136
2039-01-01,1002.47474819
2040-01-01,994.73676002
2041-01-01,982.25914384
2042-01-01,969.98054980
2043-01-01,959.97016664
2044-01-01,952.23217847
2045-01-01,939.75456229
2046-01-01,927.47596825
2047-01-01,917.46558508
2048-01-01,909.72759692
2049-01-01,897.24998074
2050-01-01,884.97138670
