year,value
2022-01-01,1632.48280924
2023-01-01,1630.04836847
2024-01-01,1629.52309970
2025-01-01,1622.30070737
2026-01-01,1617.93460019
2027-01-01,1615.50015943
2028-01-01,1614.97489065
2029-01-01,1607.75249832
2030-01-01,1603.38639114
2031-01-01,1600.95195038
2032-01-01,1600.42668161
2033-01-01,1593.20428927
2034-01-01,1588.83818210
2035-01-01,1586.40374133
2036-01-01,1585.87847256
2037-01-01,1578.65608023
2038-01-01,1574.28997305
2039-01-01,1571.85553228
2040-01-01,1571.33026351
2041-01-01,1564.10787118
2042-01-01,1559.74176400
2043-01-01,1557.30732324
2044-01-01,1556.78205446
2045-01-01,1549.55966213
2046-01-01,1545.19355495
2047-01-01,1542.75911419
2048-01-01,1542.23384542
2049-01-01,1535.01145309
2050-01-01,1530.64534591
