year,value
2022-01-01,6.58868971
2023-01-01,6.55961120
2024-01-01,6.54049057
2025-01-01,6.51001048
2026-01-01,6.47058709
2027-01-01,6.44150858
2028-01-01,6.42238794
2029-01-01,6.39190786
2030-01-01,6.35248447
2031-01-01,6.32340596
2032-01-01,6.30428532
2033-01-01,6.27380524
2034-01-01,6.23438185
2035-01-01,6.20530334
2036-01-01,6.18618270
2037-01-01,6.15570262
2038-01-01,6.11627922
2039-01-01,6.08720072
2040-01-01,6.06808008
2041-01-01,6.03760000
2042-01-01,5.99817660
2043-01-01,5.96909809
2044-01-01,5.94997746
2045-01-01,5.91949738
2046-01-01,5.88007398
2047-01-01,5.85099547
2048-01-01,5.83187484
2049-01-01,5.80139475
2050-01-01,5.76197136
