year,value
2022-01-01,3.71170482
2023-01-01,3.65459976
2024-01-01,3.59361427
2025-01-01,3.55002975
2026-01-01,3.49683367
2027-01-01,3.43972860
2028-01-01,3.37874312
2029-01-01,3.33515859
2030-01-01,3.28196251
2031-01-01,3.22485745
2032-01-01,3.16387196
2033-01-01,3.12028744
2034-01-01,3.06709136
2035-01-01,3.00998630
2036-01-01,2.94900081
2037-01-01,2.90541629
2038-01-01,2.85222021
2039-01-01,2.79511514
2040-01-01,2.73412965
2041-01-01,2.69054513
2042-01-01,2.63734905
2043-01-01,2.58024399
2044-01-01,2.51925850
2045-01-01,2.47567398
2046-01-01,2.42247790
2047-01-01,2.36537283
2048-01-01,2.30438735
2049-01-01,2.26080282
2050-01-01,2.20760674
