year,value
2022-01-01,138.01658334
2023-01-01,136.70908767
2024-01-01,135.63209312
2025-01-01,134.31926894
2026-01-01,132.77063050
2027-01-01,131.46313484
2028-01-01,130.38614029
2029-01-01,129.07331611
2030-01-01,127.52467767
2031-01-01,126.21718201
2032-01-01,125.14018746
2033-01-01,123.82736328
2034-01-01,122.27872484
2035-01-01,120.97122918
2036-01-01,119.89423462
2037-01-01,118.58141045
2038-01-01,117.03277201
2039-01-01,115.72527635
2040-01-01,114.64828179
2041-01-01,113.33545761
2042-01-01,111.78681918
2043-01-01,110.47932351
2044-01-01,109.40232896
2045-01-01,108.08950478
2046-01-01,106.54086634
2047-01-01,105.23337068
2048-01-01,104.15637613
2049-01-01,102.84355195
2050-01-01,101.29491351
