year,value
2022-01-01,217.74426891
2023-01-01,215.09919968
2024-01-01,213.16892416
2025-01-01,210.26892640
2026-01-01,206.89532818
2027-01-01,204.25025895
2028-01-01,202.31998343
2029-01-01,199.41998567
2030-01-01,196.04638745
2031-01-01,193.40131821
2032-01-01,191.47104270
2033-01-01,188.57104494
2034-01-01,185.19744671
2035-01-01,182.55237748
2036-01-01,180.62210197
2037-01-01,177.72210420
2038-01-01,174.34850598
2039-01-01,171.70343675
2040-01-01,169.77316123
2041-01-01,166.87316347
2042-01-01,163.49956525
2043-01-01,160.85449602
2044-01-01,158.92422050
2045-01-01,156.02422274
2046-01-01,152.65062452
2047-01-01,150.00555528
2048-01-01,148.07527977
2049-01-01,145.17528200
2050-01-01,141.80168378
