year,predicted
2022,1186.31918424
2023,1175.33421269
2024,1163.97892890
2025,1152.25280664
2026,1140.15531897
2027,1127.68593818
2028,1114.84413580
2029,1101.62938263
2030,1088.04114870
2031,1074.07890331
2032,1059.74211499
2033,1045.03025151
2034,1029.94277989
2035,1014.47916639
2036,998.63887653
2037,982.42137505
2038,965.82612593
2039,948.85259239
2040,931.50023689
2041,913.76852114
2042,895.65690606
2043,877.16485182
2044,858.29181782
2045,839.03726268
2046,819.40064427
2047,799.38141968
2048,778.97904523
2049,758.19297646
2050,737.02266815
