year,predicted
2022,79.11279720
2023,77.77332716
2024,76.44828525
2025,75.13536582
2026,73.83263170
2027,72.53845526
2028,71.25146896
2029,69.97052382
2030,68.69465444
2031,67.42304971
2032,66.15502814
2033,64.89001713
2034,63.62753559
2035,62.36717931
2036,61.10860867
2037,59.85153832
2038,58.59572851
2039,57.34097780
2040,56.08711696
2041,54.83400377
2042,53.58151876
2043,52.32956156
2044,51.07804780
2045,49.82690664
2046,48.57607853
2047,47.32551344
2048,46.07516934
2049,44.82501092
2050,43.57500850
