year,predicted
2022,911.60608511
2023,906.97141486
2024,901.58847160
2025,895.72833352
2026,889.56883054
2027,883.22565922
2028,876.77331182
2029,870.25911254
2030,863.71259831
2031,857.15176221
2032,850.58718810
2033,844.02477221
2034,837.46750117
2035,830.91660304
2036,824.37228347
2037,817.83418952
2038,811.30169569
2039,804.77407540
2040,798.25059933
2041,791.73058798
2042,785.21343612
2043,778.69862061
2044,772.18569875
2045,765.67430182
2046,759.16412635
2047,752.65492495
2048,746.14649749
2049,739.63868302
2050,733.13135280
