year,predicted
2022,328.37325264
2023,323.66222615
2024,318.97073445
2025,314.29654432
2026,309.63767783
2027,304.99238318
2028,300.35910885
2029,295.73648065
2030,291.12328152
2031,286.51843353
2032,281.92098197
2033,277.33008128
2034,272.74498256
2035,268.16502253
2036,263.58961374
2037,259.01823588
2038,254.45042813
2039,249.88578237
2040,245.32393711
2041,240.76457219
2042,236.20740407
2043,231.65218161
2044,227.09868237
2045,222.54670936
2046,217.99608809
2047,213.44666405
2048,208.89830035
2049,204.35087579
2050,199.80428299
