year,predicted
2022,15.59127277
2023,15.36347948
2024,15.08405070
2025,14.78972122
2026,14.50333085
2027,14.23680729
2028,13.99430250
2029,13.77500205
2030,13.57537745
2031,13.39082434
2032,13.21673548
2033,13.04911067
2034,12.88482313
2035,12.72165545
2036,12.55819980
2037,12.39369440
2038,12.22784511
2039,12.06066237
2040,11.89232830
2041,11.72309847
2042,11.55323645
2043,11.38297550
2044,11.21250087
2045,11.04194604
2046,10.87139743
2047,10.70090333
2048,10.53048398
2049,10.36014099
2050,10.18986519
