year,predicted
2022,4.95448175
2023,4.71540714
2024,4.47424869
2025,4.23449328
2026,3.99876792
2027,3.76885387
2028,3.54575401
2029,3.32979709
2030,3.12076410
2031,2.91802323
2032,2.72066265
2033,2.52761281
2034,2.33775227
2035,2.14999377
2036,1.96334913
2037,1.77697321
2038,1.59018876
2039,1.40249461
2040,1.21356030
2041,1.02321056
2042,0.83140290
2043,0.63820122
2044,0.44374816
2045,0.24823833
2046,0.05189391
2047,-0.14505620
2048,-0.34239309
2049,-0.53992023
2050,-0.73747160
