year,predicted
2022,2046.08277768
2023,2048.09369425
2024,2053.03256765
2025,2059.45440627
2026,2066.38081503
2027,2073.19759041
2028,2079.56035070
2029,2085.31392729
2030,2090.42749709
2031,2094.94507935
2032,2098.94969502
2033,2102.53888479
2034,2105.80915719
2035,2108.84710021
2036,2111.72520277
2037,2114.50080197
2038,2117.21693850
2039,2119.90423227
2040,2122.58316637
2041,2125.26638652
2042,2127.96078709
2043,2130.66927246
2044,2133.39216042
2045,2136.12824312
2046,2138.87554774
2047,2141.63184990
2048,2144.39499475
2049,2147.16307584
2050,2149.93451442
