year,predicted
2022,26.41529294
2023,26.06001790
2024,25.70563387
2025,25.35209465
2026,24.99935643
2027,24.64737767
2028,24.29611898
2029,23.94554303
2030,23.59561441
2031,23.24629955
2032,22.89756662
2033,22.54938546
2034,22.20172743
2035,21.85456542
2036,21.50787370
2037,21.16162789
2038,20.81580486
2039,20.47038269
2040,20.12534059
2041,19.78065885
2042,19.43631878
2043,19.09230267
2044,18.74859371
2045,18.40517598
2046,18.06203438
2047,17.71915458
2048,17.37652301
2049,17.03412680
2050,16.69195374
