year,predicted
2022,483.71014929
2023,479.11177824
2024,473.87375422
2025,468.26697777
2026,462.48587384
2027,456.66159131
2028,450.87568464
2029,445.17280980
2030,439.57165820
2031,434.07383315
2032,428.67068544
2033,423.34830724
2034,418.09097325
2035,412.88334420
2036,407.71173376
2037,402.56470420
2038,397.43320963
2039,392.31045860
2040,387.19162344
2041,382.07348597
2042,376.95407862
2043,371.83235596
2044,366.70791492
2045,361.58076966
2046,356.45117974
2047,351.31952568
2048,346.18622420
2049,341.05167471
2050,335.91622927
