year,predicted
2022,137.20663305
2023,134.87061101
2024,132.54774386
2025,130.23673873
2026,127.93642978
2027,125.64576577
2028,123.36379877
2029,121.08967402
2030,118.82262077
2031,116.56194402
2032,114.30701707
2033,112.05727482
2034,109.81220769
2035,107.57135623
2036,105.33430608
2037,103.10068367
2038,100.87015209
2039,98.64240759
2040,96.41717622
2041,94.19421101
2042,91.97328923
2043,89.75421004
2044,87.53679235
2045,85.32087287
2046,83.10630435
2047,80.89295401
2048,78.68070212
2049,76.46944074
2050,74.25907250
