year,predicted
2022,219.13405665
2023,214.48879424
2024,210.05834581
2025,205.97666110
2026,202.17419121
2027,198.55507242
2028,195.04494524
2029,191.59565808
2030,188.17882227
2031,184.77868072
2032,181.38686532
2033,177.99908676
2034,174.61321265
2035,171.22821226
2036,167.84360079
2037,164.45915653
2038,161.07478116
2039,157.69043257
2040,154.30609351
2041,150.92175733
2042,147.53742169
2043,144.15308590
2044,140.76874985
2045,137.38441359
2046,134.00007719
2047,130.61574071
2048,127.23140418
2049,123.84706763
2050,120.46273106
