year,value
2022,3.8300707
2023,3.8124561
2024,3.806111
2025,3.8004494
2026,3.7944074
2027,3.7886317
2028,3.7828197
2029,3.7773879
2030,3.7725785
2031,3.7694488
2032,3.7675402
2033,3.7641015
2034,3.7610652
2035,3.7581987
2036,3.7554815
2037,3.7529154
2038,3.750498
2039,3.748229
2040,3.7461033
2041,3.744111
2042,3.7422316
2043,3.7404459
2044,3.7387664
2045,3.7371836
2046,3.735692
2047,3.734287
2048,3.7329638
2049,3.7317176
2050,3.730544
