year,value
2022,5.7938185
2023,5.7523365
2024,5.7389345
2025,5.735779
2026,5.736402
2027,5.738501
2028,5.741381
2029,5.744853
2030,5.7485805
2031,5.754492
2032,5.7608013
2033,5.762208
2034,5.76404
2035,5.765825
2036,5.7674365
2037,5.768855
2038,5.7700925
2039,5.771166
2040,5.772092
2041,5.772887
2042,5.7735543
2043,5.774106
2044,5.77459
2045,5.775007
2046,5.775366
2047,5.775673
2048,5.7759366
2049,5.7761626
2050,5.7763567
