year,value
2022,2241.9365
2023,2251.0554
2024,2286.3708
2025,2337.4917
2026,2390.0447
2027,2429.6304
2028,2446.5283
2029,2440.8171
2030,2423.9138
2031,2413.4175
2032,2423.912
2033,2460.219
2034,2516.546
2035,2579.3708
2036,2632.0298
2037,2661.5745
2038,2666.7583
2039,2661.6975
2040,2670.0735
2041,2711.9995
2042,2792.015
2043,2894.0361
2044,2984.5146
2045,3027.4717
2046,3011.0188
2047,2966.76
2048,2957.5046
2049,3033.8855
2050,3190.3948
