year,predicted
2022,2343.849
2023,2368.1306
2024,2389.0173
2025,2410.6714
2026,2425.9658
2027,2441.8105
2028,2453.2144
2029,2475.9714
2030,2489.0037
2031,2511.2104
2032,2529.8044
2033,2547.2432
2034,2566.0632
2035,2583.4043
2036,2602.3472
2037,2620.516
2038,2640.146
2039,2658.8127
2040,2678.2175
2041,2697.5442
2042,2716.7234
2043,2736.395
2044,2755.9458
2045,2775.886
2046,2795.8198
2047,2816.0146
2048,2836.2556
2049,2856.6665
2050,2877.2415
