year,predicted
2022,46.05947
2023,45.771145
2024,45.438004
2025,45.12968
2026,44.625072
2027,44.253426
2028,43.601933
2029,43.311058
2030,42.648106
2031,42.157375
2032,41.5001
2033,41.14697
2034,40.70168
2035,40.30808
2036,39.793903
2037,39.386658
2038,38.889484
2039,38.496845
2040,38.000626
2041,37.585136
2042,37.129566
2043,36.749096
2044,36.32067
2045,35.9281
2046,35.49494
2047,35.110607
2048,34.69535
2049,34.315956
2050,33.909378
