year,predicted_value
2022,138.09093876312
2023,136.32806038224408
2024,134.58768702750058
2025,132.86953139818797
2026,131.17330986130037
2027,129.498742404714
2028,127.84555259095032
2029,126.21346751156489
2030,124.60221774207093
2031,123.01153729747057
2032,121.4411635883589
2033,119.89083737756118
2034,118.36030273733559
2035,116.84930700714358
2036,115.3576007519132
2037,113.8849377208935
2038,112.43107480697654
2039,110.99577200658314
2040,109.57879238002897
2041,108.17990201242173
2042,106.79886997504946
2043,105.43546828723629
2044,104.08947187874037
2045,102.76065855257184
2046,101.4488089483184
2047,100.15370650595469
2048,98.87513743005911
2049,97.61289065454366
2050,96.36675780780388
