year,predicted_value
2022,1691.613531211391
2023,1693.3609758391976
2024,1695.110225585755
2025,1696.8612823158037
2026,1698.6141478950158
2027,1700.3688241925556
2028,1702.1253130792174
2029,1703.883616426494
2030,1705.6437361096032
2031,1707.4056740046944
2032,1709.169431989314
2033,1710.9350119447336
2034,1712.7024157522246
2035,1714.47164529562
2036,1716.2427024617791
2037,1718.01558913826
2038,1719.7903072147164
2039,1721.566858582897
2040,1723.3452451375779
2041,1725.1254687733017
2042,1726.9075313883368
2043,1728.691434882814
2044,1730.47718115733
2045,1732.2647721162066
2046,1734.0542096649297
2047,1735.845495710615
2048,1737.6386321636382
2049,1739.4336209346075
2050,1741.2304639371578
