year,predicted_value
2022,337.02445412001543
2023,333.77777179225814
2024,330.5623659668854
2025,327.3779353456557
2026,324.2241815328671
2027,321.1008090073883
2028,318.0075250949558
2029,314.94403994069216
2030,311.9100664820762
2031,308.9053204219126
2032,305.929520201782
2033,302.9823869755928
2034,300.0636445835007
2035,297.17301952599155
2036,294.31024093831365
2037,291.4750405650266
2038,288.66715273488444
2039,285.8863143359813
2040,283.1322647910529
2041,280.4047460330621
2042,277.7035024810539
2043,275.02828101614796
2044,272.37883095787765
2045,269.7549040406666
2046,267.1562543905784
2047,264.582638502241
2048,262.0338152161239
2049,259.5095456958079
2050,257.00959340572444
