year,predicted_value
2022,3.9236195321334435
2023,3.865767138616718
2024,3.8087677583464483
2025,3.7526088139418334
2026,3.6972779134707423
2027,3.642762847715943
2028,3.5890515874806397
2029,3.5361322809346234
2030,3.483993250998367
2031,3.4326229927672216
2032,3.382010170971853
2033,3.332143617477982
2034,3.2830123288210302
2035,3.234605463779303
2036,3.186912340980257
2037,3.1399224365454756
2038,3.0936253817662873
2039,3.0480109608181465
2040,3.003069108504178
2041,2.9587899080362376
2042,2.9151635888451892
2043,2.8721805244255165
2044,2.8298312302114255
2045,2.7881063614835853
2046,2.7469967113071334
2047,2.70649320850049
2048,2.6665869156333883
2049,2.627269027054467
2050,2.588530866949327
