year,predicted_value
2022,4.911943600148959
2023,4.860357019146761
2024,4.809312214588886
2025,4.758803496590531
2026,4.7088252350234825
2027,4.6593718588884485
2028,4.610437855694386
2029,4.562017770844079
2030,4.514106207025975
2031,4.466697823612321
2032,4.41978733606436
2033,4.373369515343086
2034,4.327439187326036
2035,4.281991232230837
2036,4.237020584044501
2037,4.192522229959025
2038,4.148491209811937
2039,4.104922615533724
2040,4.0618115906008825
2041,4.019153329494486
2042,3.9769430771646057
2043,3.9351761284997906
2044,3.8938478278031994
2045,3.8529535682735627
2046,3.8124887914910914
2047,3.772448986910149
2048,3.7328296913557324
2049,3.6936264885268315
2050,3.6548350085031416
