year,predicted_value
2022,692.2318874047342
2023,687.4897177430685
2024,682.7800345552678
2025,678.1026152910345
2026,673.457238924806
2027,668.8436859449866
2028,664.2617383439065
2029,659.7111796073586
2030,655.1917947042239
2031,650.703370076677
2032,646.245693629724
2033,641.8185547214089
2034,637.4217441527726
2035,633.0550541580014
2036,628.7182783945609
2037,624.411211933475
2038,620.1336512496782
2039,615.8853942123533
2040,611.6662400753994
2041,607.4759894678718
2042,603.3144443847123
2043,599.1814081772609
2044,595.0766855440015
2045,591.0000825214083
2046,586.951406474589
2047,582.9304660884518
2048,578.9370713583921
2049,574.971033581518
2050,571.0321653476421
