year,predicted_value
2022,487.76220212353655
2023,483.66934383962507
2024,479.61082911258563
2025,475.58636976240086
2026,471.5956800272761
2027,467.63847654316487
2028,463.7144783238109
2029,459.8234067407175
2030,455.96498550343676
2031,452.13894063983025
2032,448.3450004767219
2033,444.58289562057325
2034,440.8523589383258
2035,437.153125538498
2036,433.48493275231885
2037,429.84752011507226
2038,426.24062934768153
2039,422.6640043382504
2040,419.1173911239748
2041,415.60053787308425
2042,412.1131948669499
2043,408.655114482317
2044,405.2260511738132
2045,401.82576145642815
2046,398.45400388827693
2047,395.1105390534067
2048,391.79512954485836
2049,388.5075399477719
2050,385.2475368226296
