year,predicted_value
2022,2123.5418386649108
2023,2129.7721640339587
2024,2136.020768748247
2025,2142.2877064379863
2026,2148.5730308907805
2027,2154.8767960523255
2028,2161.1990560261765
2029,2167.539865075145
2030,2173.8992776208324
2031,2180.2773482442135
2032,2186.6741316874977
2033,2193.089682852151
2034,2199.5240568019217
2035,2205.9773087610956
2036,2212.449494116707
2037,2218.940668418072
2038,2225.4508873774903
2039,2231.9802068703575
2040,2238.528682936332
2041,2245.096371780033
2042,2251.6833297699923
2043,2258.2896134405164
2044,2264.9152794920374
2045,2271.560384790995
2046,2278.2249863705365
2047,2284.9091414320283
2048,2291.612907343777
2049,2298.336341642309
2050,2305.079502033768
