year,predicted_value
2022,80.0768803635383
2023,79.08198777992402
2024,78.09945595822137
2025,77.1291313256379
2026,76.17086221739828
2027,75.2244988530465
2028,74.28989331303092
2029,73.36689951557946
2030,72.4553731938804
2031,71.55517187352143
2032,70.66615485021521
2033,69.78818316782963
2034,68.92111959663998
2035,68.06482861190307
2036,67.21917637266233
2037,66.38403070082313
2038,65.55926106051174
2039,64.74473853765267
2040,63.94033581982876
2041,63.14592717638425
2042,62.361388438759604
2043,61.58659698110114
2044,60.821431701078836
2045,60.065773000970694
2046,59.319502768958046
2047,58.5825043606701
2048,57.85466258095312
2049,57.1358636658606
2050,56.42599526487356
