year,predicted_value
2022,938.8857758047525
2023,934.468134002469
2024,930.0712780717004
2025,925.6951102108578
2026,921.3395330784551
2027,917.0044497911003
2028,912.6897639212839
2029,908.3953794950794
2030,904.121200990252
2031,899.8671333339298
2032,895.6330819007126
2033,891.4189525102265
2034,887.2246514254948
2035,883.0500853502599
2036,878.8951614276448
2037,874.7597872373008
2038,870.6438707939815
2039,866.547320545098
2040,862.4700453690602
2041,858.4119545726571
2042,854.3729578898347
2043,850.3529654788144
2044,846.3518879209587
2045,842.3696362180635
2046,838.4061217908747
2047,834.4612564767303
2048,830.5349525279307
2049,826.6271226097015
2050,822.7376797979814
