year,predicted_value
2022,221.09428670754278
2023,218.51007601676974
2024,215.95607028963786
2025,213.4319164822664
2026,210.9372656772175
2027,208.47177303530043
2028,206.03509774791019
2029,203.62690298989764
2030,201.24685587301428
2031,198.8946273999136
2032,196.56989241865813
2033,194.2723295777614
2034,192.0016212817918
2035,189.75745364746763
2036,187.53951646024507
2037,185.3475031314647
2038,183.18111065595622
2039,181.04003957015084
2040,178.92399391070103
2041,176.8326811735551
2042,174.76581227353745
2043,172.7231015043635
2044,170.70426649917863
2045,168.70902819148978
2046,166.73711077663756
2047,164.7882416736138
2048,162.8621514874394
2049,160.95857397186774
2050,159.07724599263747
