year,predicted_value
2022,26.05391186518318
2023,25.757508527281516
2024,25.464477233439993
2025,25.174779621466314
2026,24.888377765601945
2027,24.60523417154809
2028,24.32531177156352
2029,24.048573919609225
2030,23.77498438655084
2031,23.50450735541699
2032,23.23710741670834
2033,22.97274956376441
2034,22.711399188177666
2035,22.453022075265835
2036,22.19758439959128
2037,21.94505272053152
2038,21.695393977904587
2039,21.448575487636617
2040,21.204564937487703
2041,20.96333038281773
2042,20.724840242406344
2043,20.489063294318612
2044,20.255968671817072
2045,20.025525859320624
2046,19.797704688409794
2047,19.572475333878174
2048,19.349808309825676
2049,19.129674465800008
2050,18.912044982981342
