year,predicted_value
2022,9.139316244141128
2023,9.068496067756769
2024,8.998224673934374
2025,8.928497810180943
2026,8.859311256956516
2027,8.790660827416332
2028,8.722542367162077
2029,8.654951753984278
2030,8.58788489762037
2031,8.521337739498904
2032,8.455306252501714
2033,8.389786440713806
2034,8.324774339185979
2035,8.260266013693126
2036,8.196257560495496
2037,8.13274510610404
2038,8.06972480704485
2039,8.007192849627017
2040,7.945145449711504
2041,7.8835788524829695
2042,7.822489332221494
2043,7.761873192077928
2044,7.701726763849365
2045,7.642046407758471
2046,7.582828512231231
2047,7.524069493680827
2048,7.465765796288679
2049,7.407913891790258
2050,7.350510279261357
