year,predicted_value
2022,14.953757378180853
2023,14.808121004957457
2024,14.663903001223161
2025,14.521089553312322
2026,14.379666982094477
2027,14.239621741659903
2028,14.100940418024493
2029,13.96360972784555
2030,13.827616517146453
2031,13.692947760061088
2032,13.559590557581487
2033,13.42753213632659
2034,13.296759847314206
2035,13.167261164755473
2036,13.039023684848416
2037,12.912035124595377
2038,12.78628332062226
2039,12.661756228017566
2040,12.538441919175511
2041,12.416328582654387
2042,12.295404522045374
2043,12.17565815485409
2044,12.05707801138692
2045,11.939652733656203
2046,11.823371074291344
2047,11.70822189546061
2048,11.594194167804972
2049,11.481276969381724
2050,11.369459484618346
