year,predicted_value
2022,1254.292642976041
2023,1251.8450108536053
2024,1249.4021550511243
2025,1246.9640662481543
2026,1244.5307351421798
2027,1242.1021524491953
2028,1239.6783089031233
2029,1237.2591952556977
2030,1234.8448022773955
2031,1232.4351207558066
2032,1230.03014149738
2033,1227.6298553260276
2034,1225.2342530833557
2035,1222.8433256294811
2036,1220.4570638416335
2037,1218.0754586157855
2038,1215.6985008644406
2039,1213.3261815189617
2040,1210.9584915277082
2041,1208.5954218569677
2042,1206.2369634906063
2043,1203.883107430418
2044,1201.5338446949609
2045,1199.1891663211863
2046,1196.8490633628098
2047,1194.5135268917074
2048,1192.1825479966355
2049,1189.8561177836964
2050,1187.5342273770366
