year,actual_value,predicted_value
2011,529.382076,545.5098042214787
2012,522.3625495,561.8116630944185
2013,512.6469377,581.3995858174072
2014,504.7781464,597.8278250451713
2015,504.3345962,608.0552664022605
2016,504.5011375,612.9454994715969
2017,500.4197586,614.7786754897462
2018,499.4359342,615.3245209698929
2019,495.1848013,615.4547423659391
2020,489.4665948,615.4797803949211
2021,487.3111807,615.4836762792202
