year,actual_value,predicted_value
2011,9.843030398,10.351679246626107
2012,9.732453799,10.654741486160333
2013,9.717483277,10.937020878608816
2014,9.619311212,11.14096554158812
2015,9.523965853,11.256755080272697
2016,9.57952397,11.308943525078757
2017,9.607707781,11.327760941389563
2018,9.530391013,11.33321963791004
2019,9.498084112,11.334498943964167
2020,9.373646024,11.334741916671343
2021,9.34597772,11.334779399995009
