year,actual_value,predicted_value
2011,6.591746238,7.220232125464967
2012,6.516983217,7.940297463283999
2013,6.484983632,8.69962729230509
2014,6.442620591,9.280226392728038
2015,6.368432451,9.619459451687808
2016,6.26486506,9.774789135047843
2017,6.128628243,9.831320286312492
2018,5.969403512,9.847815964638825
2019,5.840714205,9.851697140059262
2020,5.408548447,9.852436313956682
2021,5.187181048,9.852550576999981
