year,actual_value,predicted_value
2011,2156.295044,2085.7467623199186
2012,2147.356651,2045.4773856128145
2013,2142.145121,2007.8082468126845
2014,2152.783873,1981.288020331003
2015,2174.569158,1966.682722514831
2016,2222.889062,1960.2819646641506
2017,2291.606072,1958.02911452955
2018,2335.236029,1957.3887244178977
2019,2337.05338,1957.241162078731
2020,2299.411877,1957.2135282309791
2021,2262.87213,1957.2093147522226
