year,value
1980,6.000088045
1981,5.928316736
1982,5.838136145
1983,5.753812501
1984,5.703893494
1985,5.63465961
1986,5.533817427
1987,5.488620191
1988,5.441203306
1989,5.422643058
1990,5.375715754
1991,5.340619501
1992,5.322939883
1993,5.281889329
1994,5.238390639
1995,5.22336322
1996,5.185403058
1997,5.117778594
1998,5.056154027
1999,5.068661317
2000,5.052269912
2001,4.97390067
2002,4.795024277
2003,4.645111926
2004,4.579026968
2005,4.55079823
2006,4.460644627
2007,4.382462868
2008,4.342334262
2009,4.377138333
2010,4.382961494
2011,4.30458989
2012,4.202036225
2013,4.161252799
2014,4.190818991
2015,4.158204012
2016,4.062701333
2017,4.018535701
2018,3.962482354
2019,3.901415985
2020,3.75643939
2021,3.665189862
