year,value_original,value_predicted
2011,529.382076,514.9903
2012,522.3625495,507.13525
2013,512.6469377,499.0894
2014,504.7781464,491.16092
2015,504.3345962,483.5824
2016,504.5011375,476.48138
2017,500.4197586,470.0092
2018,499.4359342,464.02255
2019,495.1848013,458.40643
2020,489.4665948,453.16388
2021,487.3111807,448.29584
