year,value_original,value_predicted
2011,6.591746238,6.39466
2012,6.516983217,6.303789
2013,6.484983632,6.2219286
2014,6.442620591,6.1523156
2015,6.368432451,6.0949564
2016,6.26486506,6.048702
2017,6.128628243,6.012054
2018,5.969403512,5.9834447
2019,5.840714205,5.9614663
2020,5.408548447,5.944825
2021,5.187181048,5.932337
