year,value_original,value_predicted
2011,734.5738303,710.9604
2012,725.6367565,689.4544
2013,716.1657801,664.9841
2014,707.5287469,638.3481
2015,702.0384642,610.0968
2016,700.4656946,580.85333
2017,695.8358842,551.5261
2018,692.4068469,522.2284
2019,688.2319911,493.3423
2020,686.2420237,465.40222
2021,688.4579284,438.76263
