year,value_original,value_predicted
2011,9.843030398,9.530944
2012,9.732453799,9.401073
2013,9.717483277,9.254339
2014,9.619311212,9.10357
2015,9.523965853,8.954595
2016,9.57952397,8.810753
2017,9.607707781,8.674367
2018,9.530391013,8.543409
2019,9.498084112,8.415576
2020,9.373646024,8.290877
2021,9.34597772,8.172395
