year,value_original,value_predicted
2011,2011.763669,2036.0834
2012,2022.85028,2035.322
2013,2049.226394,2034.994
2014,2078.551379,2034.6201
2015,2092.326447,2034.4292
2016,2100.50408,2034.4204
2017,2088.371556,2034.4971
2018,2080.367825,2034.4607
2019,2079.303643,2034.65
2020,2059.530752,2035.4569
2021,2049.010595,2036.3618
