year,value_original,value_predicted
2011,248.4141421,251.54161
2012,246.9664029,248.31793
2013,242.4831096,245.28308
2014,238.9779568,242.42923
2015,237.0651553,239.64105
2016,234.1419028,236.87874
2017,230.0353192,234.3212
2018,228.366222,231.96727
2019,226.5835158,229.76459
2020,223.5176835,227.84207
2021,223.1338647,226.03189
