year,value_original,value_predicted
2011,4.597376299,4.4968987
2012,4.597697294,4.4367223
2013,4.543791594,4.379904
2014,4.419580873,4.328179
2015,4.380462063,4.2811575
2016,4.323654849,4.2390094
2017,4.220225013,4.2022247
2018,4.078205987,4.1702566
2019,3.971982869,4.1420326
2020,3.735798491,4.117662
2021,3.604626986,4.0971246
