year,value_original,value_predicted
2011,4.30458989,4.11664
2012,4.202036225,4.046613
2013,4.161252799,3.9694493
2014,4.190818991,3.889338
2015,4.158204012,3.8070877
2016,4.062701333,3.7235022
2017,4.018535701,3.6406837
2018,3.962482354,3.558738
2019,3.901415985,3.4772825
2020,3.75643939,3.3953576
2021,3.665189862,3.3140616
