year,value_original,value_predicted
2011,990.0511993,1001.22534
2012,975.8282697,996.23615
2013,963.8277292,989.96814
2014,953.3490157,981.92676
2015,943.4048605,972.4662
2016,938.8000425,962.3272
2017,930.5992818,952.9327
2018,926.4836236,944.3883
2019,922.8975846,936.40826
2020,916.7810582,928.9393
2021,915.0820134,922.0854
