year,value_original,value_predicted
2011,51.60339874,53.177647
2012,50.41326412,52.608646
2013,49.97933087,52.18576
2014,50.00368824,51.850407
2015,49.63443075,51.575096
2016,49.59825016,51.34376
2017,49.53471589,51.14534
2018,49.21283892,50.973385
2019,48.67543623,50.831802
2020,48.09012809,50.722004
2021,47.91368998,50.635887
